Name,ACT Median,SAT Average,Average Cost,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,Average Family Income,Median Family Income,Admission Rate
Florida State University,27,1212,20774,18750,21000,12999.5,68162.48,51372.5,0.5681
Fontbonne University,23,1070,30833,25000,27750,20987.5,61278.18,45291,0.6524
Fordham University,28,1258,56604,21500,25000,9652,96092.62,74870,0.4713
Fort Hays State University,21,990,15395,11606,20075,8429,55153.96,48317,0.8917
Fort Lewis College,23,1049,19565,10500,20000,6250,64088.61,47128,0.875
Fort Valley State University,0,830,19801,19000,35500,14250,42540.16,30464.5,0.3273
Framingham State University,22,1040,21402,15522.5,23853,8250,78825.5,72222.5,0.5167
Francis Marion University,20,938,19965,19250,31251,11625,52223.66,38222,0.5667
Franciscan University of Steubenville,26,1163,32761,20500,25000,10000,94321.98,82655.5,0.7607
Franklin and Marshall College,0,0,58518,23000,25000,10000,130432.83,113508,0.3931
Franklin Pierce University,19,975,44410,15289,27000,9211,80237.61,68287,0.8472
Freed-Hardeman University,24,1098,32814,19125,26950,9502,69532.63,64443,0.9203
Fresno Pacific University,20,979,33973,16802,19205,14500,56054.12,44931.5,0.7844
Friends University,21,977,33388,20834,25000,20000,56227.91,45203.5,0.5862
Frostburg State University,20,963,19454,16750,22617.5,9500,78080.06,68365.5,0.5945
Furman University,28,1237,55434,20500,24736.5,8750,111409.56,93139.5,0.6397
Gallaudet University,18,841,29852,12000,16320.5,7603,42756.46,26730,0.6558
Gannon University,23,1050,37572,22068,27000,9500,72631.28,68879,0.8042
Gardner-Webb University,22,1018,35790,17840,23377,9978.5,57914.44,46379.5,0.4817
Geneva College,23,1070,34818,20593,26484.5,12108,67412.84,60823.5,0.6802
George Fox University,23,1070,41836,18750,22000,10500,78838.13,66182,0.7528
George Mason University,26,1155,22332,17250,20250,11000,72029.93,53311,0.6203
George Washington University,29,1297,58925,22723,25175,13500,105732.4,85746,0.3308
Georgetown College,24,1085,42036,21445,27000,12000,85596.2,79282.5,0.8219
Georgetown University,31,1398,59900,17125,17500,12000,87179.34,60247,0.1697
Georgia College and State University,24,1126,23052,16250,21304,11000,81197.18,72314,0.6798
Georgia Institute of Technology-Main Campus,30,1352,21980,20750,22750,14000,94533.48,82697,0.5493
Georgia Regents University,21,1002,7715,6250,10000,5500,0,0,0.4103
Georgia Southern University,23,1094,21513,16250,21927,10750,75183.28,61757,0.52
Georgia Southwestern State University,20,950,17839,14500,20000,11000,45710.89,31658.5,0.6803
Georgia State University,23,1060,23124,17070,23000,12500,53412.71,38306,0.5466
Georgian Court University,0,900,38533,19500,25537.5,12000,71795.42,59396,0.779
Gettysburg College,28,1282,55770,19957,22227,7000,131825.39,107490,0.4163
